"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
1,"1","2024-03-27T20:32:38.942461Z",1,"/data/upload/4/d8653016-8.png","[{""points"":[[48.89072956050725,39.61925284260446],[49.07987883408289,40.08739729470416],[49.26902810765853,40.47042457369482],[49.49600723594929,40.87473114596274],[49.87430578310057,41.68334429049859],[50.32826403968209,42.4493988484799],[50.82005215097873,43.6410392720064],[51.084861133984624,44.36453524343321],[51.236180552845134,45.15186909469179],[51.00920142455438,45.407220614018904],[50.593073022687975,45.53489637368246],[50.70656258683336,45.7689685997323],[50.97137156983924,47.237239835863164],[50.82005215097873,48.641673192162266],[49.76081621895518,50.68448534677912],[48.815069851077006,51.02495403921527],[48.058472756774464,50.961116159383494],[47.680174209623196,50.195061601402166],[48.058472756774464,48.91830400476663],[48.92855941522238,47.428753475358505],[49.912135637815695,43.811273618224476],[49.76081621895518,42.70475036780701],[48.66375043221649,40.236352347644974]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":900,""original_height"":1600},{""points"":[[39.88722413830702,60.53679813415002],[39.319776317580114,60.70703248036809],[39.50892559115575,61.66460067784474],[40.26552268545828,62.53705170221235],[40.870800360900326,62.79240322153946],[40.870800360900326,63.6010163660753],[40.908630215615446,64.89905325598811],[40.64382123260956,65.43103558791958],[40.75731079675494,66.11197297279186],[40.75731079675494,66.87802753077318],[41.13560934390621,67.72919926186354],[41.47607803634235,68.2186230072405],[41.4004183269121,69.09107403160813],[41.36258847219697,70.4529488013527],[41.77871687406337,71.02748971983868],[42.08135571178439,70.70830032067981],[42.87578266080205,67.32489268959563],[43.02710207966256,65.62254922741491],[42.68663338722642,64.43090880388841],[42.57314382308104,63.28182696691642],[42.19484527592977,61.962510783726366],[41.02211977976083,60.962383999695206]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":900,""original_height"":1600},{""points"":[[43.708039464534856,36.00177298547044],[44.1998275758315,36.214565918243025],[43.3675707720987,36.3848002644611],[43.89718873811048,37.023179062778866],[44.31331713997688,37.406206341769526],[44.46463655883739,37.91690938042374],[49.30685796237365,38.44889171235521],[49.07987883408289,36.89550330311531],[47.33970551718704,36.70398966361998],[45.56170234557607,36.12944874513399],[45.82651132858196,34.916529028330224],[43.48106033624409,34.68245680228038],[42.91361251551718,34.937808321607484],[43.14059164380794,35.53362853337074]],""closed"":true,""polygonlabels"":[""Sawdust""],""original_width"":900,""original_height"":1600},{""points"":[[62.32032798437736,30.8309047190965],[61.29892190706892,31.320328464473455],[61.071942778778165,32.34173454178189],[61.45024132592943,33.23546485942677],[62.509477257952994,33.6823300182492],[63.72003260883705,33.46953708547662],[64.43879984842447,32.958834046822396],[64.40096999370934,32.36301383505915],[63.6443728994068,31.70335574346412],[62.84994595038913,31.320328464473455]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":900,""original_height"":1600},{""points"":[[42.1864880122561,57.530537905348346],[41.3297926115853,58.01242906822567],[40.674672599307634,58.6643994650597],[40.372309516717934,59.23133024491537],[40.372309516717934,59.57148871282878],[40.97703568189732,59.16046389743342],[41.60695877062586,58.76361235153445],[42.33766955355095,58.28172118865711],[42.640032636140646,57.799830025779784],[42.84160802453377,57.28959232390969],[42.91719879518119,56.87856750851432]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":900,""original_height"":1600},{""points"":[[44.52243145586981,64.16847844418166],[44.15263328788255,64.24048241439071],[44.124187274960455,64.39249079594317],[44.23797132664885,64.52849829522694],[44.45131642356457,64.52849829522694],[44.69310753340239,64.39249079594317],[44.721553546324486,64.2564832966594]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":900,""original_height"":1600}]",239.603,"2024-03-28T10:18:31.232767Z"
2,"1","2024-03-27T20:33:37.048673Z",2,"/data/upload/4/7922eee3-9.png","[{""points"":[[47.8885315092539,31.309185656385196],[50.17891565662339,29.34297895756647],[50.88685257490123,27.540622816982633],[51.886292930116994,24.076353871444873],[52.17779636705494,21.993111059601215],[50.76192253049926,20.682306593722068],[48.679755123799715,19.79283213473264],[46.639231065234185,19.558759908682795],[44.47377696226667,19.652388799102734],[41.683672637289284,19.74601768952267],[38.64370822350797,20.050311583387476],[37.06126099441633,22.484662734305903],[37.97741465336413,25.64463778597886],[38.726994919775954,28.61735505681193],[40.351085497001584,30.6771906460506],[42.433252903701124,31.636886772854982],[45.223357228678495,31.84755177629984]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820}]",36.782,"2024-03-27T20:33:37.048697Z"
3,"1","2024-03-27T20:34:56.640047Z",3,"/data/upload/4/0d7141c8-10.png","[{""points"":[[43.926016684416304,30.264002908940313],[45.26824030195815,30.90238170725808],[46.438383968533095,31.308622760733023],[48.60659135071608,31.231243512452085],[51.807278438700486,30.399416593431962],[53.04625408566219,29.819072231324895],[53.63132591894967,29.00659012437501],[53.5624939385629,27.826556588090646],[53.49366195817614,27.072108917351468],[51.63519848773359,25.93076500520758],[47.98710352723523,24.363835227518504],[46.610463919500006,23.957594174043567],[44.579920498090544,23.802835677481678],[43.96043267460969,24.18973191888639],[44.132512625576595,25.040903649976748],[44.44225653731702,25.93076500520758],[44.78641643925082,26.704557488016995],[46.2663040175662,27.942625460512062],[46.30072000775958,28.48428019847865],[46.094224066599295,28.755107567461945],[44.88966440983097,29.122658996796424],[43.78835272364278,29.277417493358303],[43.23769688054869,29.490210426130893],[43.23769688054869,29.76103779511419]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820},{""points"":[[37.97205038096145,39.64623676300449],[57.86449271273549,26.085523501769465],[48.813087291876364,21.92638890666884],[43.99484866480307,21.674906349755783],[36.04475493013212,23.067732818812733],[28.232325156234705,27.130143353562175],[29.19597288164936,33.76541389365292],[32.878483832341104,37.61503149562977],[34.805779283170416,39.31737495781049]],""closed"":true,""polygonlabels"":[""Injure""],""original_width"":1023,""original_height"":1820}]",72.963,"2024-03-27T20:34:56.640070Z"
4,"1","2024-03-27T20:37:31.730486Z",4,"/data/upload/4/fd0fec00-1.png","[{""points"":[[56.462759862681835,42.30472805836591],[56.8410584098331,43.19458941359674],[57.6320462811494,43.50410640672051],[58.938895807671955,42.55621061527897],[59.11084969274072,41.85979738075049],[59.24841280079573,41.37617707899461]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":900,""original_height"":1600},{""points"":[[42.91324424219417,28.761970050253698],[44.38266835096357,29.694038268183228],[46.4148506290489,30.133693087961305],[46.75875839918642,29.16645248444953],[46.47737931452844,27.953005181862032],[45.69577074603409,27.144040313470374],[44.60151875014198,26.563695951363307],[43.81991018164762,26.563695951363307],[43.632324125208974,27.144040313470374],[43.60105978246921,27.74197086836856]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":900,""original_height"":1600},{""points"":[[32.144130851816215,39.686235214203066],[33.764192248331796,38.45520171882445],[34.1336799352564,37.55990463127636],[33.42312669117062,36.18498410397037],[32.79783983637514,34.79407612867245],[32.3999300196871,33.850816697148574],[30.950401401752103,33.81884180116471],[29.898782600505147,34.25050289694683],[29.472450654053674,35.59344852826896],[29.61456130287083,36.98435650356687],[30.1261596386126,38.11946531099391],[30.779868623171513,38.822913022638836]],""closed"":true,""polygonlabels"":[""Injure""],""original_width"":900,""original_height"":1600},{""points"":[[46.46238704578096,47.142185648837405],[45.86732343111201,49.12477740347961],[45.73000105849609,55.12404855713723],[45.775775182701395,56.97790058745205],[45.86732343111201,58.29104577559169],[46.78280591521808,58.31679372045717],[47.46941777829764,57.31262387070333],[47.33209540568172,46.884706200182556],[46.87435416362868,46.60147880666225]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":900,""original_height"":1600}]",150.74,"2024-03-27T20:37:31.730510Z"
5,"1","2024-03-27T20:39:53.188511Z",6,"/data/upload/4/5c05f9b0-3.png","[{""points"":[[51.711958292603455,22.400000000000002],[50.604974475942214,19.022222222222222],[48.23286629738242,17.51111111111111],[45.22819593787336,18.488888888888887],[43.80493103073748,19.733333333333334],[43.80493103073748,21.422222222222224],[43.48864994026284,22.933333333333334],[43.80493103073748,24],[46.018898664059954,24.88888888888889],[49.6561312045183,25.066666666666666],[51.07939611165418,24]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820},{""points"":[[66.89907591275056,26.50570759260214],[66.36302855911089,27.409624805964857],[66.27368733350428,27.81136578968162],[66.54171101032411,28.238215584880678],[67.34578204078362,28.012236281539998],[68.06051184563651,27.53516886337635],[68.01584123283321,27.032992633730395],[68.01584123283321,26.355054723708353],[67.1224289767671,26.254619477779162]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820},{""points"":[[28.321168517295746,34.49030964397278],[28.008474227672604,34.94226825065414],[29.348592611771775,36.54923218552118],[30.510028544657718,37.62891107925997],[31.984158767166804,38.00554325149444],[32.47553550800316,37.126734849614024],[32.25218244398664,36.2981440706982],[31.090746511100694,35.94662070994604],[29.88463996541144,36.197708824769016],[29.661286901394913,35.2435739884417],[29.12523954775525,34.666071324348856]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820}]",117.507,"2024-03-28T10:22:45.155684Z"
6,"1","2024-03-27T20:43:00.636776Z",7,"/data/upload/4/d5ee0aa8-4.png","[{""points"":[[37.61074622234477,22.31147186844213],[40.88095670795893,19.850225818750573],[41.04723859705795,18.604025287261184],[39.82783807699843,17.202049689335613],[37.05647325868136,16.39201934386751],[33.73083547670086,18.07439006137819],[32.17887117844329,20.847186243942094],[31.347461732948172,22.9968821607613],[31.901734696611584,23.83806751951664],[32.34515306754232,24.398857758686866],[34.89480870039403,24.336547732112397],[36.22506381318623,24.398857758686866],[36.50220029501794,22.84110709432512]],""closed"":true,""polygonlabels"":[""Injure""],""original_width"":1023,""original_height"":1820},{""points"":[[39.20839964561636,80.8153541424766],[37.91225420278607,74.68341112097686],[35.752011798068914,67.70149579946725],[34.02381787429519,63.6337712208486],[33.26773303264419,61.751689699398185],[34.02381787429519,56.9554174350568],[34.02381787429519,53.49481592787377],[34.347854235002764,49.42709134925514],[34.56387847547448,46.634325220651284],[33.05170879217247,43.41657294204252],[29.811345185096737,38.49887606341401],[29.379296704153308,36.07038377767154],[29.27128458391745,40.62380681343867],[30.6754421469836,43.05229909918115],[31.863575469578038,45.177229849205816],[31.863575469578038,47.60572213494827],[30.567430026747743,53.25196669929952],[30.351405786276025,57.137554356487485],[30.999478507691176,63.26949737798723],[32.94369667193662,67.458646570893],[34.02381787429519,71.40494653522451],[34.887914836182055,74.68341112097686],[37.480205721842644,80.87606644962014],[38.668339044437076,82.51529874249633]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":1023,""original_height"":1820},{""points"":[[40.76684502305787,48.73925761455566],[40.48257748703683,49.65230530482102],[40.23891959901879,50.611005379599646],[39.467336286961704,51.63818403114819],[38.69575297490461,52.756667451723274],[38.04599860685652,54.308848525174405],[37.43685388681144,55.929508175395426],[36.868318814769374,57.36755828756337],[36.94953811077538,59.39908939840382],[37.15258635079041,61.24801097119118],[37.92416966284751,62.731713467872396],[38.614533678898596,63.98715404198728],[38.77697227091061,64.78607077096947],[39.87343276699175,66.6121661515002],[40.84806431906387,67.73064957207528],[41.13233185508491,68.52956630105747],[41.49781868711195,70.08174737450861],[42.26940199916905,72.59262852273837],[43.16281425523517,74.82959536388852],[43.56891073526521,77.13504078180856],[44.21866510331329,78.8241790087995],[44.38110369532532,79.94266242937456],[44.09683615930428,80.28505531322409],[44.2998843993193,81.1067982344629],[44.50293263933433,81.9057149634451],[44.990248415370395,81.99701973247164],[45.27451595139142,81.58614827185224],[44.86841947136138,80.35353388999398],[43.627522929619744,75.67628132917324],[43.41913122410741,74.22381404193968],[42.52304689040437,71.90455176071191],[41.98122845607231,70.47551136520792],[41.751997580008734,69.32759367045882],[41.62932396968969,68.1007757628796],[40.89807747504691,67.13699343712496],[39.08256893662345,64.37320588532853],[38.553045612916605,63.168477978135215],[37.872229911007814,61.892883723459946],[37.418352776401946,60.730675624755804],[37.31749119093397,59.34169521410939],[37.46878356913593,58.12279403741969],[37.62007594733789,56.875546321737204],[38.52104667302967,54.42402252664817],[38.54681881043437,53.62642140661098],[38.90265465756286,53.25840111443135],[39.31542424023192,52.602364941415495],[39.500458880738734,52.00233185634002],[39.713960389015845,51.45830185920492],[40.21213057499574,51.186286860637374],[40.511032686583675,50.61025509896492],[41.02343630644872,50.01822245502379],[41.23693781472581,49.498193781291704],[41.27963811638124,48.954163784156606],[41.265404682496104,48.44213555155887],[40.82416823205677,47.9861104069015]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":1023,""original_height"":1820}]",339.634,"2024-03-28T10:25:22.176921Z"
7,"1","2024-03-27T20:47:59.219128Z",8,"/data/upload/4/7fa3923f-5.png","[{""points"":[[40.654813338784244,59.000173171015454],[40.16705313076044,59.479960375638875],[40.41093323477235,60.610887357965495],[41.08160352080508,60.98786301874103],[42.240034014861614,60.850780960277206],[42.54488414487649,60.165370667958044],[42.179063988858644,59.58277191948675]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820},{""points"":[[60.06463296805089,74.21628166050095],[59.27202263001221,71.5431815204562],[59.0281425260003,69.55549167273062],[60.30851307206279,68.04758902962847],[57.56486190192888,67.25936719346142],[55.30897093981878,66.91666204730183],[53.78472028974439,67.4307197665412],[52.80919987369678,69.82965578965829],[53.84569031574736,72.36567387123921],[55.85770117384556,74.6617983505084],[58.296502213964594,74.8331509235882]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820},{""points"":[[31.225810668643362,33.608734350139585],[32.3842411626999,32.51207788242892],[35.92050267087249,32.54634839704488],[37.87154350296772,32.75197148474063],[39.09094402302723,33.231758689364035],[39.578704231051034,33.43738177705979],[40.61519467310162,32.99186508705233],[39.151914049030204,31.175527812406546],[38.847063919015326,29.976059800848],[39.63967425705401,29.187837964680956],[39.27385410103616,26.891713485411746],[39.27385410103616,25.589433930005328],[39.334824127039134,24.835482608454246],[28.726039602521354,25.14391723999787],[28.908949680530284,26.686090397716],[29.57961996656302,27.9198289238905],[28.726039602521354,29.187837964680956],[28.726039602521354,30.044600830079915],[29.27476983654814,31.038445753942707],[29.457679914557065,32.16937273626933],[28.969919706533258,33.12894714551617],[29.09185975853921,33.91716898168321],[29.640589992565996,34.36268567169066]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820},{""points"":[[58.46415793425346,45.327737272266916],[58.40873063788712,47.38396814922441],[59.129285490649565,48.16284348140528],[59.628131157946626,52.58685536819263],[59.240140083382244,53.05418056750115],[59.51727656521395,53.83305589968202],[60.07154952887737,54.30038109899055],[60.1269768252437,55.26618651089483],[59.96069493614468,56.69931712210764],[60.18240412161005,57.353572401139566],[61.12466815983786,57.789742587160866],[62.5103505689964,58.91132306550131],[62.95376893992714,59.19171818508643],[63.064623532659816,60.064058557128995],[63.78517838542225,60.96755394245882],[65.11543349821444,62.12028943408651],[65.89141564734324,62.961474792841855],[66.72282509283835,63.98959023132059],[66.94453427830372,66.26390620128873],[66.99996157467007,67.72819182578878],[66.61197050010567,68.63168721111859],[67.72051642743251,67.72819182578878],[68.05308020563055,66.26390620128873],[67.38795264923445,63.36648996557589],[65.55885186914519,61.55949919491628],[63.78517838542225,59.47211330467154],[64.06231486725396,58.59977293262896],[60.73667708527346,56.23199192279911],[60.625822492540784,53.39688571366074],[60.237831417976395,51.09141473040536],[60.237831417976395,49.00402884016062],[59.57270386158029,47.757828308671236],[58.796721712451514,47.0101079897776]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":1023,""original_height"":1820},{""points"":[[65.35793977103651,40.61854467453037],[66.52191299472969,44.32599125571131],[67.51960432932384,47.19225247813693],[68.62815025665067,50.71276897959446],[69.51498699851213,53.45441014887113],[69.90297807307651,54.01520038804135],[70.06925996217555,52.83130988312643],[68.62815025665067,48.7811581557859],[66.46648569836334,42.20745035217934],[65.35793977103651,39.9331343822112],[64.96994869647213,39.185414063317566]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":1023,""original_height"":1820},{""points"":[[70.56810562947263,56.07143126499885],[71.01152400040334,56.881461610466964],[71.95378803863116,58.968847500711696],[72.23092452046288,59.43617270002023],[72.23092452046288,60.62006320493515],[71.78750614953215,62.52051901545648],[71.95378803863116,63.36170437421181],[72.17549722409653,64.0782696798182],[71.67665155679946,64.17173471967992],[71.3440877786014,63.67325450708417],[70.73438751857167,64.54559487912674],[70.90066940767068,65.48024527774378],[71.3440877786014,66.07219053020124],[71.67665155679946,66.25912060992466],[71.7320788531658,65.41793525116931],[72.17549722409653,65.26216018473315],[72.61891559502726,65.41793525116931],[72.78519748412629,66.41489567636083],[73.7274615223541,67.47416612812681],[76.11083526610678,69.56155201837156],[73.33947044778971,65.26216018473315],[72.72977018775994,63.73556453365863],[72.3079035872742,62.87568453700414],[72.24368233358446,61.95518578185156],[72.69323110941272,59.31100798518776],[71.36064009535036,56.17048282054953],[70.89503600609966,55.72828243817231],[70.6060403644958,55.76438042857043]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":1023,""original_height"":1820},{""points"":[[36.51536559517694,75.36683134336157],[36.06795772266299,75.77307239683653],[36.377701634403415,76.62424412792689],[36.412117624596796,77.28196773831489],[36.790693516723984,77.10786442968278],[36.99718945788427,75.44421059164253],[36.859525497110745,74.96059028988664]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820},{""points"":[[31.765958948490404,53.56522814020626],[31.456215036749974,54.06819325403237],[31.456215036749974,54.571158367858494],[32.38544677197125,54.95805460926321],[32.79843865429182,54.74526167649062],[32.62635870332492,54.01015881782166],[32.07570286023083,53.81671069711932]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1023,""original_height"":1820},{""points"":[[58.85134323068102,29.326178616201272],[59.74615897570891,30.177350347291632],[60.57214274035005,32.32462448708777],[61.08838259325077,33.79483020442566],[61.12279858344415,34.433209002743425],[61.22604655402428,35.05224298899096],[61.19163056383091,36.79327607531215],[61.570206455958086,38.95989502717851],[63.01567804408008,41.80358240150312],[63.29100596562712,43.738063608526666],[63.772829828334466,44.39578721891467],[63.566333887174174,40.68158330142947],[62.60268616175952,38.86317096682734],[62.53385418137276,34.95551892863978],[61.570206455958086,32.556762231930584],[60.46889476976991,30.583591400766576],[59.401999073775116,29.30683380413104],[58.610431299327345,28.6877998178835]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":1023,""original_height"":1820},{""points"":[[64.2202377008484,41.20389322732583],[64.11698973026827,42.26785789118877],[64.18582171065502,44.14430466200161],[64.32348567142856,45.16957970172409],[64.80530953413589,46.63978541906198],[65.04622146548954,45.130890077583615],[64.83972552432927,43.583305111964776],[64.63322958316898,41.72620315322218]],""closed"":true,""polygonlabels"":[""Cut""],""original_width"":1023,""original_height"":1820}]",296.141,"2024-03-27T20:47:59.219152Z"
8,"1","2024-03-27T23:13:17.747570Z",9,"/data/upload/4/90a87534-6.png","[{""points"":[[58.02303979612194,28.629596099117943],[60.13296851598091,29.313806923425556],[63.216710491159425,30.59100046213309],[65.57009252484828,31.00152695671765],[68.49153229080687,30.819070736902287],[71.3318209521555,30.043631802687003],[73.60405188123438,28.948894483794824],[74.415562927334,26.71380579105664],[74.57786513655392,25.573454417210623],[72.63023862591487,24.068190603733893],[71.08836763832561,22.79099706502635],[69.0595900230766,21.78748785604186],[68.89728781385668,20.73836459210353],[68.16692787236704,19.917311602934397],[66.70620798938774,20.282224042565122],[64.75858147874868,20.282224042565122],[64.02822153725903,20.054153767795917],[62.48635054966978,20.601522427242006],[61.1879328759104,21.331347306503453],[59.727212992931115,22.79099706502635],[58.67224863300162,24.524331153272293],[58.1041909007319,26.896262010872]],""closed"":true,""polygonlabels"":[""Injure""],""original_width"":1023,""original_height"":1820}]",56.052,"2024-03-27T23:13:17.747607Z"
9,"1","2024-03-27T23:13:47.653992Z",10,"/data/upload/4/266d5064-7.png","",27.885,"2024-03-27T23:13:47.654017Z"
10,"1","2024-07-26T10:20:33.007707Z",11,"/data/upload/4/b54585be-8a8292be-751c-40_RD_SG_2.jpg","[{""points"":[[56.69421487603303,11.91698806244261],[56.198347107437996,13.018916437098255],[56.41873278236913,13.753535353535357],[57.07988980716251,13.606611570247933],[57.52066115702477,12.651606978879707],[57.68595041322312,10.961983471074381],[57.300275482093646,10.888521579430673]],""closed"":true,""polygonlabels"":[""Hole""],""original_width"":1024,""original_height"":768}]",54.36,"2024-07-26T10:20:33.007727Z"
