                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  8.379,                 45.302,                 8.6678,                      0,                      0,                      0,                      0,                  8.016,                 26.685,                 8.3172,               0.000275,               0.000275,               0.000275
                      2,                 7.8646,                  36.18,                  8.323,                      0,                      0,                      0,                      0,                 8.0603,                 27.062,                 8.3525,             0.00055136,             0.00055136,             0.00055136
                      3,                 7.3888,                 25.822,                   7.69,                  3e-05,                0.00113,                  2e-05,                      0,                 8.3316,                 29.178,                  8.758,             0.00081634,             0.00081634,             0.00081634
                      4,                 7.1085,                 20.359,                 7.0055,                  2e-05,                0.00113,                  1e-05,                      0,                 8.1967,                 10.909,                 8.4398,              0.0010699,              0.0010699,              0.0010699
                      5,                  7.052,                 15.848,                 6.4801,                0.00025,                0.02693,                 0.0002,                  7e-05,                 7.0624,                 8.7823,                 6.8322,               0.001151,               0.001151,               0.001151
                      6,                 6.8229,                 13.517,                 6.0381,                0.00019,                0.02149,                0.00011,                  3e-05,                 6.9803,                 7.9286,                 6.5309,              0.0011263,              0.0011263,              0.0011263
                      7,                 6.5839,                 12.176,                 5.9704,                0.00063,                0.08359,                0.00177,                0.00061,                 6.4613,                 7.6308,                 6.1545,              0.0011015,              0.0011015,              0.0011015
                      8,                 6.3279,                 11.127,                 5.6857,                0.25801,                0.01671,                0.00357,                0.00118,                 6.4454,                 7.5416,                  5.826,              0.0010768,              0.0010768,              0.0010768
                      9,                 6.1417,                 10.097,                  5.604,                0.00178,                0.19396,                0.00441,                0.00115,                 6.2164,                 7.4138,                 5.6177,               0.001052,               0.001052,               0.001052
                     10,                 6.0931,                 9.1784,                 5.3615,                0.27207,                0.01335,                 0.0066,                0.00169,                  6.095,                 7.4646,                 5.5412,              0.0010273,              0.0010273,              0.0010273
