                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2628,                 8.2244,                 4.3132,                  6e-05,                 0.0129,                  3e-05,                  1e-05,                 4.2076,                 6.4943,                 4.1613,               0.000275,               0.000275,               0.000275
                      2,                 4.0669,                 7.4055,                 4.1341,                  5e-05,                0.00645,                  3e-05,                  1e-05,                 4.2364,                  6.605,                 4.1882,             0.00056194,             0.00056194,             0.00056194
                      3,                 3.8229,                 6.4853,                 3.8213,                  3e-05,                0.00161,                  2e-05,                      0,                 4.3323,                 5.8156,                  4.329,             0.00084832,             0.00084832,             0.00084832
                      4,                 3.6498,                 6.0245,                 3.5481,                  4e-05,                0.00645,                  2e-05,                      0,                 4.2946,                 7.0771,                 4.3289,              0.0011341,              0.0011341,              0.0011341
                      5,                 3.5394,                 5.5083,                 3.3593,                 0.0003,                0.05833,                 0.0005,                  9e-05,                 3.5776,                 5.8007,                 3.5033,              0.0012451,              0.0012451,              0.0012451
                      6,                  3.435,                 5.2582,                 3.1863,                 0.0008,                0.10409,                0.00342,                0.00071,                  3.517,                 7.1875,                 3.4531,              0.0012438,              0.0012438,              0.0012438
                      7,                 3.3545,                 5.0803,                 3.1844,                0.50744,                0.01918,                0.00201,                 0.0005,                 3.6201,                 5.5671,                 10.575,              0.0012426,              0.0012426,              0.0012426
                      8,                 3.3077,                 4.9353,                 3.0854,                0.51232,                0.00741,                0.00163,                0.00053,                 3.3833,                 6.2777,                 4.0575,              0.0012413,              0.0012413,              0.0012413
                      9,                 3.2498,                 4.6613,                 3.0377,                0.50858,                0.03148,                0.00499,                0.00139,                  3.353,                 5.9379,                 3.2988,              0.0012401,              0.0012401,              0.0012401
                     10,                 3.1583,                 4.3571,                 2.8756,                0.77518,                0.01759,                0.00522,                0.00117,                 3.3152,                  5.442,                 3.3444,              0.0012389,              0.0012389,              0.0012389
                     11,                 3.0348,                 4.1634,                 2.7891,                0.76588,                0.01944,                0.00997,                0.00232,                 3.1155,                 3.8447,                 2.9283,              0.0012376,              0.0012376,              0.0012376
                     12,                 2.9571,                 3.9993,                 2.7468,                0.54728,                0.05254,                0.01551,                0.00439,                 3.0643,                 3.5325,                 2.8014,              0.0012364,              0.0012364,              0.0012364
                     13,                 2.9682,                 3.9027,                 2.7188,                0.26594,                0.03333,                0.01142,                0.00333,                  2.836,                 3.2621,                 2.7685,              0.0012351,              0.0012351,              0.0012351
                     14,                 2.8387,                 3.5462,                 2.6105,                0.52013,                0.02593,                0.01369,                0.00474,                 2.8502,                 3.5353,                  2.822,              0.0012339,              0.0012339,              0.0012339
                     15,                 2.7954,                 3.6269,                 2.5917,                0.32967,                0.05896,                0.02431,                0.00784,                 2.7364,                  3.294,                  2.635,              0.0012327,              0.0012327,              0.0012327
                     16,                 2.7781,                  3.528,                 2.5703,                0.33355,                0.06296,                 0.0244,                0.00645,                 2.7764,                 3.8331,                 2.6156,              0.0012314,              0.0012314,              0.0012314
                     17,                 2.7677,                 3.3946,                 2.5444,                0.29972,                0.05618,                0.01999,                 0.0063,                 2.7259,                 3.1389,                  2.556,              0.0012302,              0.0012302,              0.0012302
                     18,                 2.7067,                 3.2087,                 2.4319,                0.32449,                0.06673,                0.03241,                0.01115,                  2.638,                 3.1459,                 2.5406,               0.001229,               0.001229,               0.001229
                     19,                 2.6298,                 3.1953,                 2.4444,                 0.3042,                0.06691,                0.02722,                0.00928,                 2.6518,                  3.295,                 2.5372,              0.0012277,              0.0012277,              0.0012277
                     20,                 2.6036,                 3.1794,                 2.3983,                0.30502,                0.07321,                0.02564,                0.00811,                 2.7365,                 3.1465,                 2.5393,              0.0012265,              0.0012265,              0.0012265
                     21,                 2.5744,                  3.157,                 2.3526,                0.32405,                0.07829,                0.03587,                0.01378,                  2.546,                 3.1056,                 2.4607,              0.0012252,              0.0012252,              0.0012252
                     22,                 2.5671,                 3.0693,                  2.354,                0.30543,                0.06059,                0.03176,                0.01018,                 2.5241,                 2.9577,                 2.4016,               0.001224,               0.001224,               0.001224
                     23,                 2.4839,                 2.9618,                  2.263,                0.32031,                0.07255,                0.03748,                 0.0127,                  2.494,                 2.9727,                 2.3723,              0.0012228,              0.0012228,              0.0012228
                     24,                 2.5542,                 2.9188,                 2.3616,                0.33074,                0.10833,                0.04669,                0.01562,                 2.4492,                   2.84,                 2.3823,              0.0012215,              0.0012215,              0.0012215
                     25,                 2.4434,                 2.8809,                 2.2852,                0.34183,                0.05526,                0.04272,                0.01612,                 2.4094,                  2.859,                  2.403,              0.0012203,              0.0012203,              0.0012203
                     26,                 2.4186,                 2.8081,                 2.2061,                0.33709,                0.08101,                0.04628,                0.01761,                 2.4009,                 2.7891,                 2.3406,              0.0012191,              0.0012191,              0.0012191
                     27,                  2.392,                  2.791,                 2.2147,                0.32334,                0.09104,                0.04316,                0.01633,                 2.3941,                 3.0721,                 2.3226,              0.0012178,              0.0012178,              0.0012178
                     28,                 2.4038,                 2.8385,                 2.2163,                0.35774,                 0.1078,                0.05938,                0.02254,                 2.3737,                 2.7167,                 2.2778,              0.0012166,              0.0012166,              0.0012166
                     29,                 2.3951,                 2.7486,                 2.2103,                0.32835,                 0.1004,                0.05371,                0.01972,                 2.3458,                  2.744,                 2.2816,              0.0012154,              0.0012154,              0.0012154
                     30,                 2.3445,                 2.6917,                 2.1724,                0.08301,                  0.114,                0.06256,                0.02479,                 2.2404,                 2.6203,                 2.1762,              0.0012141,              0.0012141,              0.0012141
                     31,                 2.3581,                  2.697,                 2.1875,                0.35894,                0.10995,                0.06964,                0.02532,                 2.2721,                 2.6167,                 2.1811,              0.0012129,              0.0012129,              0.0012129
                     32,                 2.2733,                 2.6022,                 2.1015,                0.35582,                0.10714,                0.06749,                0.02593,                 2.2761,                 2.8007,                  2.223,              0.0012116,              0.0012116,              0.0012116
